#Tkin (GeV)  sigma_inel(np) (mb) Error (mb)
# from Bystricky_JPhysique48  Table VI
 0.300   0.003   0.001
 0.325   0.046   0.002
 0.350   0.175   0.005
 0.375   0.419   0.007
 0.400   0.783   0.009
 0.425   1.26    0.010
 0.450   1.84    0.013
 0.475   2.50    0.015
 0.500   3.23    0.018
 0.525   4.00    0.022
 0.550   4.81    0.025
 0.575   5.64    0.029
 0.60    6.48    0.033
 0.65    8.15    0.041
 0.70    9.77    0.049
 0.75    11.31   0.058
 0.80    12.76   0.069
 0.85    14.10   0.080
 0.90    15.33   0.092
 0.95    16.46   0.11
 1.00    17.48   0.12
 1.05    18.42   0.13
 1.10    19.26   0.15
 1.15    20.03   0.16
 1.20    20.73   0.17
 1.25    21.36   0.19
 1.30    21.93   0.20
 1.35    22.44   0.21
 1.40    22.91   0.22
 1.45    23.34   0.23
 1.50    23.72   0.24
 1.60    24.39   0.26
 1.70    24.95   0.28
 1.80    25.42   0.30
 1.90    25.81   0.31
 2.00    26.14   0.33
 2.10    26.43   0.34
 2.20    26.68   0.36
 2.30    26.90   0.37
 2.40    27.10   0.39
 2.50    27.28   0.41
 2.60    27.45   0.43
 2.70    27.60   0.45
 2.80    27.75   0.47
 2.90    27.89   0.49
 3.00    28.03   0.52
 3.20    28.30   0.57
 3.40    28.57   0.63
 3.60    28.84   0.69
 3.80    29.13   0.76
 4.00    29.42   0.83
 4.20    29.73   0.90
